City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,Mutoko,ZW,-17.4,32.23,62.71,78,0,6.62,clear sky
311,Shelopugino,RU,51.65,117.56,38.66,76,100,2.77,overcast clouds
312,Ilulissat,GL,69.22,-51.1,24.8,45,0,5.82,clear sky
313,Buritis,BR,-15.62,-46.42,86.07,26,19,4.27,few clouds
314,Prince Rupert,CA,54.32,-130.32,64.4,72,20,9.17,few clouds
315,Anchorage,US,61.22,-149.9,52.0,87,90,3.36,light rain
316,Durban,ZA,-29.86,31.03,62.6,77,0,13.87,clear sky
317,Salalah,OM,17.02,54.09,77.0,88,20,4.7,few clouds
318,Zykovo,RU,55.95,93.15,33.8,86,40,2.24,light shower snow
319,Kerema,PG,-7.96,145.78,79.02,82,98,1.07,overcast clouds
320,Cadereyta,MX,25.58,-99.98,82.4,26,5,6.93,clear sky
321,Codrington,AU,-38.27,141.97,47.21,85,5,9.71,clear sky
322,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,83.07,73,93,2.37,overcast clouds
323,Gravelbourg,CA,49.88,-106.55,48.92,50,93,19.51,overcast clouds
324,Torbay,CA,47.67,-52.73,71.6,88,75,17.22,broken clouds
325,Pangnirtung,CA,66.15,-65.71,33.8,47,20,3.36,few clouds
326,Coahuayana,MX,18.73,-103.68,80.6,69,75,11.41,broken clouds
327,Luderitz,NA,-26.65,15.16,54.88,68,5,20.45,clear sky
328,Uarini,BR,-2.99,-65.11,73.4,94,75,5.82,moderate rain
329,Odweyne,SO,9.41,45.06,73.4,59,100,10.13,overcast clouds
330,San Policarpo,PH,12.18,125.51,78.37,86,100,5.28,overcast clouds
331,Kavaratti,IN,10.57,72.64,80.71,77,97,12.8,overcast clouds
332,Sabha,LY,27.04,14.43,83.48,30,43,16.71,scattered clouds
333,Cambridge,CA,43.36,-80.31,55.99,87,75,12.75,broken clouds
334,Filingue,NE,14.35,3.32,87.64,52,64,13.85,broken clouds
335,Beziers,FR,43.35,3.22,57.99,93,6,3.18,clear sky
336,Gabaldon,PH,15.45,121.34,76.24,81,89,0.6,moderate rain
337,Bubaque,GW,11.28,-15.83,78.33,86,100,7.94,moderate rain
338,Tutoia,BR,-2.76,-42.27,79.38,77,57,18.16,broken clouds
339,Kresek,ID,-6.13,106.38,80.01,83,20,6.93,haze
340,Kobryn,BY,52.21,24.36,53.22,85,100,9.13,overcast clouds
341,Farkhor,TJ,37.49,69.4,50.0,93,20,3.91,few clouds
342,Chicama,PE,-7.84,-79.15,67.33,69,62,10.0,broken clouds
343,Luanda,AO,-8.84,13.23,75.2,78,75,6.93,broken clouds
344,Libourne,FR,44.92,-0.25,61.0,87,100,6.93,overcast clouds
345,Makakilo City,US,21.35,-158.09,86.0,51,1,6.93,clear sky
346,Emmett,US,43.87,-116.5,82.99,30,0,7.07,clear sky
347,Cheremukhovo,RU,60.35,59.99,43.74,84,0,2.13,clear sky
348,Neuquen,AR,-38.95,-68.06,59.0,21,0,14.99,clear sky
349,Iquique,CL,-20.22,-70.14,62.6,67,90,19.46,overcast clouds
350,Riyadh,SA,24.69,46.72,78.8,27,0,6.93,clear sky
351,Fomboni,KM,-12.28,43.74,78.22,78,0,4.54,clear sky
